Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 11:41:44.626846,    5.655449,101189.012830,   24.270555,   51.958896,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.037126,    0.165122,    0.006974,    0.407188,    0.000000,    0.000000,   41.718750,   -1.891237,   -2.997540,   -0.490275,    0.045617,   -2.126306,   -1.555072,   -3.915624,   -1.489318,   -1.869867,   -0.761097,    0.074795,   -0.609042,   -2.098360,    0.343973,   -1.558770,    0.176302,   -0.756166,    0.825207,    0.267946,   -0.326302,   -0.069863,   -2.600142,   -2.971650,   -1.326167,   -0.697810,   -0.907399,    1.198359,   -1.486852,   -2.500690,    1.196715,   -1.145756,   -1.318770,   -0.121233,    1.498475,   -0.658768,    0.528905,   -0.424110,   -1.091098,   -0.311507,   -1.615483,   -0.398220,   -0.370686,    1.389866,   -3.288911,   -4.096857,  -24.950485,   -3.283979,   -5.103709,   -7.062805,   -4.825797,   -4.889599,   -8.308758,   -5.303024,   -5.744087,   -5.151791,   -5.372887,   -6.262615,   -4.195488,   -5.848573,   -7.783166,   -7.129740,   -9.020566,   -5.870560,   -9.109333
Mult,SI,251114 11:41:44.636846,    5.653577,101189.012830,   24.104162,   51.579278,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.117721,    0.171727,   -0.024741,    0.080949,    0.000000,    0.000000,   41.718750,   -1.391510,    0.537124,   -1.686990,   -0.647673,   -1.406304,   -1.325345,   -1.465893,   -2.758362,   -0.791508,   -0.631645,   -2.485484,   -0.551097,   -1.544387,    1.153564,    0.176713,   -2.165758,   -2.238087,   -0.427398,   -1.797949,   -0.307398,   -2.230689,   -2.746855,   -1.879730,   -0.073151,    0.880276,   -0.591371,   -0.051370,   -0.275138,   -1.304797,   -1.145756,    0.196850,   -1.626579,    1.611784,    1.002536,   -0.427398,    0.837536,    0.108904,    0.724111,   -0.238357,    1.212331,   -0.975207,   -1.350003,    0.608837,    0.613563,   -5.883505,  -24.964278,   -6.066382,   -5.023983,   -7.231145,   -7.252823,   -4.593708,   -5.940885,   -8.777278,   -8.790017,   -8.435565,   -6.777548,   -6.035971,   -5.254531,   -7.469912,   -6.998644,   -6.664534,   -7.230014,   -7.798988,   -5.956039
Mult,SI,251114 11:41:44.646846,    5.655261,101189.012830,   24.258122,   51.776097,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.053197,    0.188191,    0.000490,   -0.068480,    0.000000,    0.000000,   41.718750,   -1.560825,    1.654113,   -1.501236,   -0.360001,   -0.382193,   -2.394251,   -0.384247,   -0.939865,   -2.032607,   -0.689590,   -0.257672,    0.722056,   -2.464114,   -0.964112,   -1.185208,   -0.703152,   -1.574798,    0.980139,    0.262603,   -0.176302,   -0.425754,   -2.773978,   -0.003288,   -2.536032,   -0.339453,    0.712193,   -1.387400,    1.370551,   -0.020959,   -1.025755,    0.184110,   -0.060822,    0.690412,   -0.434359,    0.048904,    1.951237,    0.150822,    0.232192,   -1.984114,   -2.176854,    1.678359,    2.922746,    1.071783,   -0.186165,   -7.253028,  -25.877378,   -6.257889,   -6.635356,   -4.998195,   -6.156793,   -5.157544,   -6.376502,   -5.654806,   -6.774568,   -7.055151,   -8.533579,   -5.337853,   -5.162065,   -7.350528,   -7.665221,   -7.534946,   -5.852477,   -5.794327,   -7.108370
Mult,SI,251114 11:41:44.656846,    5.654918,101189.012830,   24.216656,   52.075427,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.046046,    0.254437,   -0.007878,    0.035007,    0.000000,    0.000000,   41.718750,    0.437261,   -2.048223,   -1.462195,    0.789865,   -0.726577,   -1.616305,   -4.032337,   -2.362196,   -3.148773,   -1.167948,   -0.561371,    0.026301,   -2.267676,   -0.600412,   -1.480277,    0.368631,   -2.181785,   -3.282335,   -0.393699,   -0.334110,   -1.474523,   -3.147951,   -2.998362,   -0.701097,    0.647673,   -0.999865,   -0.986303,   -0.168699,   -1.051646,   -1.091098,    0.470138,    0.343973,    1.113598,    0.083027,    1.233085,    0.461919,   -1.319181,   -2.457128,    0.984659,    1.345071,   -0.836714,   -2.078634,    2.162470,    0.938632,   -6.660219,  -23.587733,   -7.357617,   -6.233232,   -6.235286,   -7.124192,   -6.788233,   -5.069702,   -7.310973,   -7.961625,   -8.537894,   -6.948918,   -7.127994,   -6.249054,   -7.478234,   -7.080014,   -6.482068,   -6.180834,   -6.351588,   -6.947274
Mult,SI,251114 11:41:44.666846,    5.655132,101189.012830,   24.244167,   51.834297,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.040380,    0.168860,   -0.022537,    0.345003,    0.000000,    0.000000,   41.718750,   -1.735894,   -1.408770,   -2.362196,   -0.379727,    0.439727,   -1.610551,   -0.219042,   -2.624389,   -1.440003,    1.022468,   -0.468905,   -0.063288,   -1.560414,   -1.393975,   -1.846031,   -1.866168,   -1.499592,    1.696031,   -1.165893,   -1.920826,   -0.882741,   -1.236167,    0.189452,   -2.280415,   -2.631375,   -0.610686,    2.924389,   -0.807330,   -0.764796,    0.233836,   -0.632878,    0.422056,   -0.565789,   -0.611290,    1.988840,    1.275208,    1.232879,    1.173290,    1.063564,   -0.124521,    0.374384,   -5.336312,    2.085621,   -2.172744,   -4.162816,  -28.053918,   -5.885765,   -6.874945,   -7.326487,   -7.675084,   -4.573982,   -5.848753,   -9.046867,   -5.023880,   -6.268163,   -5.273024,   -5.823094,   -6.179190,   -6.686931,   -6.133574,   -7.235768,   -5.615765,   -4.125214,   -6.568369
Mult,SI,251114 11:41:44.676846,    5.655471,101189.012830,   24.275978,   51.843027,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.055701,    0.210350,    0.002454,    0.072596,    0.000000,    0.000000,   41.718750,   -1.524661,   -0.844933,   -1.989867,    1.040550,   -1.329866,   -2.222470,   -1.506578,    0.287261,   -3.199732,   -2.079456,   -1.382058,    0.342740,   -0.113014,   -0.726988,   -2.704115,   -1.144523,   -1.408359,   -3.271650,   -1.573565,    1.147810,   -0.808769,   -2.228635,    1.038084,   -0.184521,    0.212877,   -0.676029,   -2.148908,    0.016849,   -0.222329,   -0.297124,    0.441782,   -1.825072,   -0.249761,   -0.638092,   -2.148908,    1.954113,   -0.413425,   -0.277809,   -2.181374,   -0.422467,    1.259592,   -0.138904,    3.264459,   -0.231370,   -8.767826,  -24.567039,   -5.724463,   -5.106585,   -7.455529,   -7.412172,   -6.833027,   -6.644551,   -6.962480,   -5.795354,   -6.171588,   -5.672888,   -6.160389,   -7.529604,   -5.867991,   -7.942619,   -7.246453,   -6.676041,   -5.984601,   -7.887139
Mult,SI,251114 11:41:44.686846,    5.653322,101189.012830,   24.076915,   51.680862,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,   -0.065030,    0.146430,   -0.024817,   -0.077297,    0.000000,    0.000000,   41.718750,    0.270411,   -0.576987,   -2.042470,   -0.983016,   -2.058086,   -1.934798,   -2.338361,   -2.002607,    0.687947,    1.165071,    0.254384,    0.796029,   -2.084799,   -0.753289,   -2.731238,   -0.973564,   -1.709181,   -1.701373,   -1.227948,   -0.781645,    0.464384,   -1.135893,   -2.321101,   -0.953838,   -0.424110,    0.361234,    2.230689,    1.684524,   -1.116167,    0.624248,   -1.101372,   -2.023155,    0.034110,    0.107158,   -1.321441,    0.400275,   -2.114799,   -0.634111,   -1.250139,   -0.032055,   -1.487263,    1.083701,   -3.452678,   -1.211920,   -3.468500,  -23.529804,   -4.890010,   -5.753847,   -8.241027,   -6.908952,   -6.053848,   -6.655724,   -6.117135,   -7.822105,   -7.841933,   -8.365085,   -6.295800,   -7.518508,   -4.654735,   -7.917550,   -5.772340,   -6.856041,   -6.136862,   -7.685769
Mult,SI,251114 11:41:44.696846,    5.654140,101189.012830,   24.152572,   51.748849,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.045059,    0.259946,   -0.006231,    0.288387,    0.000000,    0.000000,   41.718750,   -2.210141,   -0.437261,   -1.723154,    0.640275,   -0.890961,    0.017671,   -1.324934,   -1.188085,   -1.961100,    0.443836,   -0.561371,   -1.439592,   -2.395073,    0.367809,   -0.900824,   -1.435893,   -1.795072,   -0.737262,    0.964933,   -3.437678,   -3.172609,   -0.083836,    0.071918,   -0.747125,    0.193973,    2.095073,   -0.270822,   -0.171370,   -0.266302,    0.155754,    0.608220,   -0.634933,   -0.300617,    2.337552,    0.341713,   -1.190961,   -1.558359,   -2.935485,   -0.256439,   -0.870002,   -0.839591,   -0.635755,   -1.021440,    0.899180,   -5.655833,  -23.739457,   -6.676452,   -7.698714,   -5.968779,   -7.565974,   -6.176725,   -4.268305,   -8.590291,   -6.783096,   -7.682892,   -4.867407,   -6.823883,   -7.031110,   -6.409328,   -6.102752,   -4.994393,   -6.041108,   -5.220832,   -5.738231
Mult,SI,251114 11:41:44.706846,    5.654658,101189.012830,   24.202305,   51.731522,   18.844981,    0.000000,  200.000000,   13.500000,    0.200000,    4.900000,    6.100000,    0.050754,    0.198106,   -0.009987,    0.366814,    0.000000,    0.000000,   41.718750,   -1.546852,   -0.934111,   -0.078904,    0.076849,   -1.918360,   -0.198083,    0.011096,   -2.897677,    0.031233,    0.190274,    1.389455,   -0.066165,   -1.372195,    1.190550,   -0.540823,   -0.425343,   -2.149319,   -0.467261,    0.816166,   -2.119319,   -1.592058,   -2.575896,   -0.557261,    0.090000,   -1.931100,    0.826440,   -0.498494,    0.257055,    1.236989,    0.077671,    0.936166,   -0.775892,   -0.624762,    1.007892,   -1.749866,   -0.960413,   -2.450964,   -2.595211,    0.198083,   -0.319727,   -1.105482,   -4.656174,    2.247539,   -0.556439,   -5.581655,  -24.536694,   -7.363165,   -6.450835,   -7.405083,   -7.554775,   -5.495353,   -7.445948,   -5.907135,   -8.408544,   -6.239807,   -5.550011,   -4.336755,   -6.966589,   -7.117309,   -7.984536,   -4.722338,   -7.012206,   -7.379193,  -10.170431
