Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:19:12.173966,   11.559973,101114.485473,   23.989685,   51.733374,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.334566,   -0.001047,    0.050660,   -0.433994,    0.000000,    0.000000,   43.882812,   -0.042740,    0.387535,   -0.820276,   -0.665755,   -0.528494,    1.762195,   -0.634933,   -1.021646,    0.807947,   -0.215754,   -0.402330,    0.104384,   -2.657677,   -0.266713,   -0.183288,   -0.971509,   -2.459594,    0.482878,   -1.750277,   -1.309729,    1.075071,   -0.439727,   -1.247674,   -0.198494,   -1.057399,   -0.969043,   -1.643428,   -2.509731,   -1.165482,   -0.934933,    0.297124,    0.283562,    0.425035,   -0.074872,    1.031920,   -1.636442,   -2.217128,   -0.680138,    1.261646,   -1.049591,   -0.574111,   -0.846166,    2.238087,    0.698221,  -20.187780,  -99.753871,  -22.065249,  -22.131208,  -21.018175,  -19.790895,  -20.318671,  -20.412138,  -21.034151,  -21.732372,  -19.574422,  -19.543600,  -19.886444,  -21.241686,  -19.642539,  -18.999079,  -19.001545,  -20.895658,  -20.331410,  -22.130592
Mult,SI,251114 12:19:12.183966,   11.564202,101114.485473,   24.170164,   52.266294,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.207923,   -0.059848,    0.030549,   -0.162980,    0.000000,    0.000000,   43.882812,    0.530960,   -0.055480,   -2.804389,   -1.216852,   -1.207400,   -0.866303,    0.401508,   -1.116578,   -1.834524,    0.653426,   -0.198494,   -2.448498,   -1.236989,   -0.512878,   -0.560960,    0.064110,    0.792741,   -0.629179,   -0.655481,    0.858495,   -3.802199,    0.191507,   -1.494661,   -2.067949,    0.021370,   -0.237124,   -0.223562,   -1.690688,   -1.365208,   -1.742058,    0.007397,   -2.110689,   -0.212055,   -0.238935,   -0.255206,    1.080413,   -0.185754,    0.551919,   -0.703563,   -0.238768,   -1.769182,    1.707949,   -2.515690,   -0.597124,  -18.829352, -100.129938,  -22.065249,  -22.125660,  -21.096925,  -21.047199,  -17.120582,  -23.082529,  -21.625522,  -20.821582,  -20.446684,  -19.151545,  -20.224869,  -21.843331,  -18.905996,  -20.891959,  -19.814834,  -20.990179,  -21.319152,  -21.071549
Mult,SI,251114 12:19:12.193966,   11.563630,101114.485473,   24.150258,   52.041301,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.218481,    0.121712,    0.030270,    0.381370,    0.000000,    0.000000,   43.882812,   -1.880552,    0.048082,   -1.366441,   -1.248085,   -0.927125,   -0.338631,   -2.193292,    1.296989,   -1.156441,   -1.482332,   -0.775892,   -1.056988,   -0.601234,   -0.280275,    0.319316,    1.104660,   -0.918495,    0.501371,   -3.867131,   -0.881920,   -1.504934,   -1.114523,   -1.500414,   -1.044660,    2.301785,   -1.255893,    1.218085,   -1.047125,   -0.932057,   -0.115069,   -0.204247,    0.519453,    0.330925,    0.543738,   -0.559727,    0.353425,   -0.019726,   -1.533702,   -0.616440,    0.016849,    0.010685,    0.153699,   -0.913974,   -2.926855,  -18.282160,  -98.880094,  -18.212502,  -17.506679,  -19.718823,  -17.987810,  -19.377573,  -17.109101,  -20.138259,  -18.240344,  -22.336688,  -19.348806,  -18.771304,  -16.456060,  -17.946303,  -19.204148,  -18.829352,  -18.475516,  -19.002777,  -19.629902
Mult,SI,251114 12:19:12.203966,   11.561274,101114.485473,   24.051123,   51.698190,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.168174,   -0.060066,    0.045474,   -0.098474,    0.000000,    0.000000,   43.882812,   -0.081370,   -2.028497,   -0.260138,   -2.206854,   -2.405758,   -1.263701,   -1.328222,   -0.612741,    0.831782,   -1.991100,   -0.680549,    0.543289,   -1.933976,   -0.936577,   -1.424797,   -1.304386,   -0.805070,    0.943564,   -0.173014,   -1.433428,   -2.134525,   -1.310551,   -0.372330,    0.647262,   -0.947673,    0.248631,    0.608631,   -1.266167,    0.955070,   -0.637399,   -0.817810,   -1.212331,   -0.615207,    1.611527,    0.377672,   -2.298498,   -1.476578,   -0.976440,   -0.664111,    1.042605,    0.604111,   -1.565757,   -2.652334,   -2.915348,  -18.169351,  -98.553817,  -20.274492,  -18.357571,  -17.502569,  -17.662535,  -16.434279,  -16.400914,  -19.629080,  -18.765756,  -18.716544,  -17.321130,  -17.869864,  -17.695926,  -17.254349,  -17.437432,  -17.071678,  -17.249212,  -17.665926,  -16.461403
Mult,SI,251114 12:19:12.213966,   11.562863,101114.485473,   24.113487,   52.080453,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.185515,   -0.017855,    0.019354,   -0.046963,    0.000000,    0.000000,   43.882812,   -0.026301,   -0.957947,   -2.057675,   -1.779867,    0.200548,   -2.102881,   -1.284660,    0.403562,   -1.030687,   -0.117534,    0.881920,   -2.623156,    0.713015,   -0.925892,   -1.539044,   -1.500003,   -1.193016,    0.970276,   -0.823563,    2.246717,   -2.865211,   -0.796029,   -0.933700,   -1.903976,    0.767673,    1.523839,    1.715757,   -0.241850,    0.045206,   -1.731784,   -0.864659,   -1.560414,   -1.158187,    1.598081,    0.660618,   -2.414388,   -1.927401,   -0.154932,   -2.340005,   -0.260548,    0.365754,   -2.884937,   -0.851303,    0.808769,  -17.380103,  -98.374087,  -17.746268,  -18.205516,  -17.339418,  -18.966408,  -15.037016,  -18.304351,  -15.718798,  -19.830759,  -16.552841,  -19.277299,  -14.854756,  -17.288254,  -14.706296,  -17.075376,  -16.981678,  -17.468254,  -16.138183,  -15.744689
Mult,SI,251114 12:19:12.223966,   11.559753,101114.485473,   23.974210,   51.910088,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.144236,    0.043594,    0.043022,    0.082048,    0.000000,    0.000000,   43.882812,    0.001644,   -2.793293,   -1.572743,   -1.901511,   -2.358909,    0.133973,   -1.847675,   -0.013562,   -3.793158,   -0.265891,   -0.376028,   -2.382334,   -0.484111,   -0.997399,   -3.201787,   -2.313292,    0.235069,   -0.816988,    1.686168,   -0.881920,   -0.120822,    0.001233,   -0.651782,   -0.130274,   -0.862604,   -1.616305,   -0.397809,    0.070274,   -0.481234,   -0.232603,   -2.353155,   -1.932744,   -0.781851,    0.194089,   -1.288770,   -1.590414,   -0.733563,    0.551919,   -0.503015,   -0.383014,   -1.323290,   -3.528911,   -0.261370,   -2.014114,  -17.674350,  -98.302182,  -17.244486,  -15.130920,  -17.235394,  -16.641711,  -16.235375,  -18.200790,  -17.280034,  -17.095411,  -17.650309,  -15.900854,  -15.869929,  -16.284690,  -14.929139,  -16.294553,  -17.554966,  -17.651542,  -16.078183,  -18.649352
Mult,SI,251114 12:19:12.233966,   11.559571,101114.485473,   23.962173,   52.034026,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.315693,   -0.067030,    0.032800,    0.171612,    0.000000,    0.000000,   43.875000,   -3.311513,   -0.837125,    0.157809,   -1.499592,   -1.077536,   -0.296713,    0.542878,   -0.268357,   -1.794250,    1.022057,    0.524385,   -0.366576,   -1.524250,   -1.433838,   -2.815896,   -0.915207,   -1.756442,    1.069317,   -0.880276,   -1.874798,   -0.906577,   -1.514387,   -1.306852,   -1.227537,    1.906442,   -1.468770,   -2.614526,   -1.359249,   -2.500690,   -0.715892,   -0.961235,   -0.580686,    0.443836,   -1.578368,    0.091849,   -2.155895,    1.282194,   -0.504248,    1.462195,    2.318635,    3.042335,   -2.573841,    1.699524,    2.376169,  -17.707432,  -99.997211,  -16.948390,  -16.136539,  -13.877236,  -15.124653,  -15.759483,  -14.757795,  -14.487563,  -17.929145,  -14.349275,  -15.654689,  -14.261124,  -13.052081,  -15.497291,  -16.519348,  -16.231265,  -15.309893,  -15.175099,  -16.580170
Mult,SI,251114 12:19:12.243966,   11.556541,101114.485473,   23.826203,   51.870671,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.180311,   -0.135522,    0.026419,   -0.221452,    0.000000,    0.000000,   43.875000,   -0.783289,    0.188220,   -2.012881,   -0.156576,   -0.003288,   -1.105482,   -1.404660,   -1.965209,   -0.218631,   -1.832469,    0.529727,   -1.895757,   -1.588359,   -0.483700,    0.322192,   -1.548496,   -0.260959,   -0.787399,   -0.083425,    0.713015,    0.429042,   -1.136304,   -0.023425,   -1.748634,    0.978906,   -0.783289,    0.249453,    1.404044,   -2.892335,   -0.248220,   -1.969319,   -1.248907,   -0.916235,   -0.408378,    0.145274,   -0.004521,   -0.093288,    0.996988,   -0.395343,   -0.576166,   -2.388087,    0.198494,    2.249594,   -1.217674,  -16.797157,  -98.075447,  -14.356878,  -15.641949,  -14.645063,  -15.576195,  -15.518661,  -15.062907,  -15.795648,  -16.932568,  -14.412152,  -16.828801,  -14.080816,  -15.624278,  -15.121366,  -16.670992,  -15.355099,  -17.192500,  -15.873525,  -15.599209
Mult,SI,251114 12:19:12.253966,   11.559689,101114.485473,   23.982080,   51.544491,   78.762358,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.287757,   -0.109388,    0.047857,    0.178109,    0.000000,    0.000000,   43.875000,   -0.791508,   -0.870824,   -0.290959,   -1.236989,   -3.909049,   -1.130550,   -0.920550,   -2.121785,   -1.494250,    0.094521,   -1.641784,    0.342329,   -1.665209,    0.053425,   -1.680003,   -1.199591,    0.019315,    1.302742,   -0.552330,   -0.209589,    0.288494,   -3.084664,   -0.611508,   -1.175345,   -0.686714,    0.631234,    0.026712,    0.314179,   -0.968632,   -1.546030,   -0.473015,   -2.519183,   -0.421645,   -0.642381,    0.970481,    0.927125,    1.564113,   -0.392467,    0.116713,   -1.117399,   -2.203566,   -4.371790,    4.552406,   -0.738495,  -16.192224,  -97.411812,  -16.446403,  -13.014889,  -15.426966,  -15.133078,  -14.244275,  -13.881654,  -14.254549,  -14.819618,  -16.866403,  -13.761397,  -14.047528,  -14.901810,  -13.093588,  -14.070439,  -17.527432,  -15.074824,  -12.676053,  -15.545373
