Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:09:13.054326,    8.648710,101135.090506,   23.893328,   52.127013,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.159982,    0.183088,    0.018663,    0.047537,    0.000000,    0.000000,   43.531250,   -0.288494,    1.313838,   -1.202468,   -1.957812,   -2.736170,    0.399864,   -2.176032,    1.307263,   -0.651782,   -0.041096,   -2.325621,   -3.353431,    0.173014,    0.299590,   -1.576852,   -2.166580,   -0.483700,   -0.429042,   -2.058497,   -2.425895,   -1.581373,   -2.837677,    0.235069,    0.513289,    1.694387,   -0.914385,   -0.941920,   -1.452126,   -1.572743,   -1.208222,   -0.228905,    0.595070,   -0.899488,    2.113746,   -0.704796,    1.531647,    1.716579,    0.224795,   -0.716714,    1.021235,   -2.872197,    0.302055,   -1.584866,   -1.378359,   -9.584403,  -58.096002,  -11.139680,   -9.125977,  -11.157762,  -11.186426,  -11.888654,  -10.392709,  -14.044548,  -12.026531,   -9.817417,  -10.430158,  -13.072218,  -11.030981,  -10.938823,  -10.913857,  -10.908926,  -10.071801,  -13.102834,  -11.368379
Mult,SI,251114 12:09:13.064326,    8.652367,101135.090506,   24.117389,   52.219470,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.075154,    0.144741,   -0.002796,   -0.407248,    0.000000,    0.000000,   43.531250,   -2.511786,    0.655481,   -1.904387,   -3.520692,    0.892605,   -1.835757,   -0.477124,    0.865070,   -2.280005,   -0.149589,   -1.066030,   -0.762741,    0.438905,    1.259592,   -1.082468,   -1.745757,   -0.849865,   -1.443701,   -3.662062,    0.001644,   -1.504934,   -0.338220,   -0.943153,   -0.555618,   -0.524385,    0.360001,   -2.540142,   -2.018634,    0.557261,    0.370686,   -0.474248,   -0.096165,    0.236918,   -0.028857,    1.772058,   -0.632056,   -1.103838,   -1.275619,    0.409316,   -0.147945,    0.574933,   -1.598633,    1.348975,   -0.247809,  -11.453242,  -55.464504,  -10.629884,  -11.597489,   -9.282604,   -9.515875,  -11.997969,   -9.127980,  -10.175774,   -9.840431,  -10.635021,   -8.787141,  -11.023481,   -8.527414,   -9.610910,   -9.237964,  -10.950022,  -10.301527,   -9.732759,  -11.241803
Mult,SI,251114 12:09:13.074326,    8.651697,101135.090506,   24.073476,   52.300685,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.180158,    0.186142,    0.010409,   -0.095396,    0.000000,    0.000000,   43.531250,   -1.899456,   -0.223973,   -0.102329,   -1.064797,   -1.244386,   -1.327811,   -2.360964,   -0.976029,   -2.395073,   -0.769317,   -2.367950,   -2.869732,   -0.749591,    1.389044,    0.712193,   -1.472469,   -1.097673,   -1.151920,   -1.733428,    2.663019,    1.095619,   -1.523839,   -1.007262,   -1.564524,   -1.470825,   -1.689455,    0.371097,   -0.636371,   -0.639864,    0.762330,   -2.400005,   -0.865892,   -1.885483,    0.363648,   -1.369318,   -0.384247,    1.205756,    0.581919,   -1.650414,   -0.526028,    0.770549,   -3.132335,   -1.542332,    0.482878,  -11.544270,  -55.362233,   -9.288306,   -7.681865,   -8.928357,  -10.216664,  -10.103034,   -7.952790,  -11.244680,   -8.139468,   -9.951390,   -9.436868,   -8.858340,   -8.429195,   -9.210018,  -10.863309,  -11.146461,  -13.295369,  -11.107008,   -9.405224
Mult,SI,251114 12:09:13.084326,    8.650147,101135.090506,   23.986378,   51.995800,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.034319,    0.161385,    0.009548,   -0.112566,    0.000000,    0.000000,   43.531250,   -0.027123,   -0.025069,   -3.634117,   -0.943153,    0.558083,   -0.214110,   -0.697399,   -1.236578,    0.952605,    1.465893,    0.328768,   -2.208908,    0.125343,   -0.768906,    0.584385,   -2.686855,   -1.205345,   -0.495617,   -1.885072,   -2.589868,    0.148767,   -0.941920,   -0.446302,   -2.096306,   -3.355075,   -2.276306,    0.585618,   -1.602743,   -2.997540,   -1.226715,   -0.450823,   -1.442058,   -1.447503,   -0.636422,   -0.499316,   -0.954659,   -0.772193,   -0.521508,   -0.964112,    0.605344,   -5.187545,   -2.754663,    1.135482,   -2.792060,  -10.982693,  -54.911667,  -11.153447,   -7.499604,   -6.417855,   -9.372964,  -11.989339,   -6.881135,  -11.025638,  -11.475742,   -8.962621,  -11.231940,   -9.684471,   -9.114676,  -10.020123,  -10.489747,   -9.984266,   -9.238375,  -10.501665,  -10.616733
Mult,SI,251114 12:09:13.094326,    8.650594,101135.090506,   24.013559,   52.013656,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.165976,    0.193724,   -0.004446,    0.213672,    0.000000,    0.000000,   43.531250,   -2.152607,    1.854250,    0.326302,    0.229726,   -0.194795,   -0.030822,   -1.360688,   -1.753976,   -2.020278,   -0.523152,    0.662056,   -0.413425,    0.077671,   -0.396165,    0.432330,   -3.807542,   -0.836303,   -1.446578,    0.555207,   -1.250961,   -0.378905,   -4.142885,   -1.224660,   -2.406991,    0.906988,    0.493974,   -2.494115,   -2.251443,   -0.733152,   -0.936988,   -0.897125,   -0.486165,    1.553222,    1.164763,   -2.573019,   -0.984659,   -2.375758,    0.120822,   -2.409868,   -1.676305,    1.636031,   -1.721510,   -1.476784,   -4.202885,   -9.881526,  -54.552328,   -9.227895,   -9.634129,   -7.089774,   -9.434608,  -10.539473,   -9.782742,  -10.829611,   -9.517930,   -7.603782,   -9.620156,   -9.443238,   -9.724540,   -9.535807,  -11.360160,   -9.485361,  -10.220568,   -8.810360,  -10.000294
Mult,SI,251114 12:09:13.104326,    8.649144,101135.090506,   23.922559,   52.048444,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.012744,    0.238560,    0.023319,    0.064243,    0.000000,    0.000000,   43.531250,    0.184932,   -0.708495,   -1.043838,    1.781099,   -1.928223,    0.119178,    0.985481,    0.554385,   -0.807125,   -0.835892,   -1.592880,   -3.284801,   -0.507535,    0.376028,    0.117534,   -1.920004,   -2.594800,   -1.004797,   -3.020143,   -1.933976,    1.177811,   -1.284660,   -0.835481,   -2.780964,   -0.148767,    1.989456,   -0.463563,    0.321576,    0.355069,   -0.216576,   -1.278085,    0.838358,    1.499489,   -0.243917,   -0.670070,   -2.268087,    1.877264,   -1.504934,    0.195617,   -1.763428,   -0.940276,   -1.788908,    0.827673,   -2.808910,  -11.511187,  -53.902742,   -8.739469,  -10.075910,   -8.517911,   -9.280498,   -9.439334,   -8.825797,   -8.868511,   -9.914609,   -6.333095,  -10.925364,   -9.570841,   -9.646047,   -8.063132,  -11.506050,   -9.487827,   -8.760839,   -8.344126,   -9.100703
Mult,SI,251114 12:09:13.114326,    8.651419,101135.090506,   24.063424,   52.058761,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.129751,    0.272442,   -0.004911,   -0.081938,    0.000000,    0.000000,   43.531250,   -2.180552,    0.221507,    1.376304,    0.738495,   -0.571234,   -1.102605,   -0.406439,   -1.552606,   -1.690688,   -0.425343,   -2.590279,   -2.018634,   -0.244110,   -1.189728,   -1.207400,   -1.997675,   -3.165623,   -1.963566,   -1.562880,    0.633289,   -0.151233,   -1.698086,   -2.848362,   -0.514522,    0.254384,   -0.420412,   -0.458220,   -2.410073,   -1.209865,   -1.758908,   -1.270276,   -0.182466,    0.653323,    1.078744,    0.600412,   -0.074795,   -1.946716,   -2.347402,   -2.016990,   -1.189728,   -0.307398,    0.702330,    4.738777,    0.380960,   -9.496252,  -52.705854,   -7.598029,   -7.933166,   -9.454077,   -9.039367,  -10.380021,   -9.284685,  -10.295363,   -7.480186,   -9.905773,   -9.688786,   -9.906287,   -8.783442,   -8.452825,  -10.868652,   -7.709193,  -12.042764,   -8.698579,   -5.895628
Mult,SI,251114 12:09:13.124326,    8.651296,101135.090506,   24.046626,   52.367482,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,    0.031100,    0.171610,    0.009337,   -0.092147,    0.000000,    0.000000,   43.531250,   -0.892605,   -1.346715,   -4.257954,   -0.134795,    0.332055,   -1.146989,   -1.958634,   -0.811234,   -0.035343,   -2.575896,   -1.457674,   -0.545755,   -1.645483,    0.743837,    0.573700,   -2.126717,   -2.231100,   -0.329590,    0.796029,    0.510001,   -1.644661,   -2.540964,   -1.799182,    1.009728,    0.509590,   -0.423289,    0.112603,    0.321576,   -2.795348,   -0.286850,   -0.719590,   -0.413015,   -0.284281,   -0.165964,   -0.565892,    0.170137,    0.023425,   -1.193016,    0.095343,    0.708495,    0.339453,   -0.671919,    0.728015,    1.746579,  -10.462418,  -53.944204,   -7.243987,   -7.212343,   -9.881424,   -8.854435,   -9.808787,   -9.914249,   -8.188783,  -11.589886,   -9.729060,   -8.632620,   -8.556079,   -9.834266,   -8.547448,   -9.285635,   -7.963167,  -10.277281,  -10.108993,   -9.660841
Mult,SI,251114 12:09:13.134326,    8.651560,101135.090506,   24.069112,   52.161006,   44.109682,    0.000000,  300.000000,   20.300000,    0.600000,    9.700000,    7.700000,   -0.027588,    0.289509,    0.010207,    0.099976,    0.000000,    0.000000,   43.531250,   -3.093705,   -0.145480,   -0.152466,   -0.016027,   -2.224936,   -0.783289,   -1.170413,   -1.074249,   -1.248496,   -1.010550,   -2.457950,   -0.873700,   -1.520551,    0.688358,   -2.176854,   -2.705759,   -1.385756,   -1.652880,   -1.988223,    0.308220,   -1.452332,    1.339729,   -1.640962,   -1.572743,   -0.872878,   -1.910552,    0.083014,   -1.528770,   -1.209865,    0.647262,   -1.494661,   -0.051781,    0.881611,   -0.983208,   -0.755344,    0.277809,   -1.498770,   -1.808634,   -1.177811,    0.632467,    0.242877,   -0.045206,   -1.402606,    0.293425,  -10.388034,  -53.734126,   -9.400909,   -9.363512,   -5.574463,   -8.663853,  -11.460434,   -8.974102,  -10.761391,  -12.146428,   -8.013920,  -10.567829,  -11.076186,   -7.726865,  -10.459952,   -8.895223,   -9.214950,  -11.734955,  -11.630366,  -11.225365
